Image No.	X	Y	no. pixels (desired)	ratio	actual no. pixels	no. pixels error	Factor	Xoffset	Yoffset	X rounded
1	4290	2856	"12,252,240.00"	1.50	"12,252,240.00"	0.000	0.75	0	0	4288
2	4201	2797	"11,752,240.00"	1.50	"11,750,197.00"	0.000	500000	44	28	4192
3	4110	2737	"11,252,240.00"	1.50	"11,249,070.00"	0.000		88	56	4096
4	4016	2675	"10,752,240.00"	1.50	"10,742,800.00"	0.001		136	88	4000
5	3922	2613	"10,252,240.00"	1.50	"10,248,186.00"	0.000		176	120	3904
6	3824	2548	"9,752,240.00"	1.50	"9,743,552.00"	0.001		232	152	3808
7	3724	2482	"9,252,240.00"	1.50	"9,242,968.00"	0.001		280	184	3712
8	3623	2415	"8,752,240.00"	1.50	"8,749,545.00"	0.000		332	220	3616
9	3517	2345	"8,252,240.00"	1.50	"8,247,365.00"	0.001		384	252	3488
10	3409	2273	"7,752,240.00"	1.50	"7,748,657.00"	0.000		440	288	3392
11	3296	2198	"7,252,240.00"	1.50	"7,244,608.00"	0.001		496	328	3296
12	3180	2121	"6,752,240.00"	1.50	"6,744,780.00"	0.001		552	364	3168
13	3061	2042	"6,252,240.00"	1.50	"6,250,562.00"	0.000		612	404	3040
14	2935	1958	"5,752,240.00"	1.50	"5,746,730.00"	0.001		676	448	2912
15	2804	1871	"5,252,240.00"	1.50	"5,246,284.00"	0.001		740	492	2784
16	2667	1780	"4,752,240.00"	1.50	"4,747,260.00"	0.001		808	536	2656
17	2523	1684	"4,252,240.00"	1.50	"4,248,732.00"	0.001		880	584	2496
18	2370	1582	"3,752,240.00"	1.50	"3,749,340.00"	0.001		960	636	2368
19	2206	1473	"3,252,240.00"	1.50	"3,249,438.00"	0.001		1040	688	2176
20	2029	1355	"2,752,240.00"	1.50	"2,749,295.00"	0.001		1128	748	2016
21	1835	1226	"2,252,240.00"	1.50	"2,249,710.00"	0.001		1224	812	1824
22	1617	1081	"1,752,240.00"	1.50	"1,747,977.00"	0.002		1336	884	1600
23	1367	914	"1,252,240.00"	1.50	"1,249,438.00"	0.002		1460	968	1344
24	1060	709	"752,240.00"	1.50	"751,540.00"	0.001		1612	1072	1056
25	612	410	"252,240.00"	1.49	"250,920.00"	0.005		1836	1220	608
